,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
147,Peddapalli,IN,18.6167,79.3667,82.33,51,10,8.39,clear sky
148,Husavik,IS,66.0449,-17.3389,24.8,63,0,6.91,clear sky
149,San Quintin,MX,30.4833,-115.95,59.23,84,96,13.87,overcast clouds
150,Banjar,ID,-8.19,114.9675,86.0,74,20,5.75,few clouds
151,Mount Gambier,AU,-37.8333,140.7667,57.2,62,40,23.02,scattered clouds
152,Chokurdakh,RU,70.6333,147.9167,-9.67,92,24,0.65,few clouds
153,Manaus,BR,-3.1019,-60.025,80.6,83,20,3.44,few clouds
154,Dikson,RU,73.5069,80.5464,25.65,95,100,24.7,snow
155,Kattivakkam,IN,13.2167,80.3167,78.8,89,20,5.21,mist
156,Rocha,UY,-34.4833,-54.3333,67.39,99,100,7.07,overcast clouds
157,Longyearbyen,SJ,78.2186,15.6401,19.4,63,75,20.71,broken clouds
158,Mattru,SL,7.6244,-11.8332,78.06,89,100,2.15,overcast clouds
159,Amalapuram,IN,16.5833,82.0167,82.4,83,20,4.61,mist
160,Baghmara,IN,23.795,86.2085,87.64,25,0,3.11,clear sky
161,Caravelas,BR,-17.7125,-39.2481,73.72,84,76,4.65,broken clouds
162,Caorle,IT,45.5966,12.8758,52.0,88,100,9.73,light rain
163,Vardo,NO,70.3705,31.1107,28.18,68,3,26.84,clear sky
164,Bereda,ES,43.2686,-7.5406,48.99,100,100,7.0,overcast clouds
165,Madona,LV,56.8533,26.217,31.78,78,60,1.99,broken clouds
166,Yulara,AU,-25.2406,130.9889,69.8,37,0,21.85,clear sky
167,Kailua,US,21.4022,-157.7394,78.8,53,20,12.66,few clouds
168,Malatya,TR,38.5,38.0,37.4,81,40,9.22,scattered clouds
169,Berlevag,NO,70.8578,29.0864,26.29,68,31,20.56,scattered clouds
170,Torbay,CA,47.6666,-52.7314,34.0,100,90,11.5,moderate rain
171,Bodden Town,KY,19.2833,-81.25,80.6,78,20,10.36,few clouds
172,Malinyi,TZ,-8.9333,36.1333,69.13,97,100,1.21,light rain
173,Kasongo-Lunda,CD,-6.4667,16.8167,69.94,96,100,1.92,light rain
174,Khvastovichi,RU,53.4694,35.0941,33.8,75,0,4.47,clear sky
175,San Jose,US,37.3394,-121.895,70.0,39,20,9.22,few clouds
176,Hasaki,JP,35.7333,140.8333,61.0,58,75,4.61,broken clouds
177,Mujiayingzi,CN,42.1167,118.7833,58.64,34,100,19.46,moderate rain
178,Laguna,US,38.421,-121.4238,77.0,31,1,11.5,clear sky
179,Texarkana,US,33.4251,-94.0477,62.6,48,1,4.61,clear sky
180,Morant Bay,JM,17.8815,-76.4093,80.6,78,40,17.27,scattered clouds
181,Shenjiamen,CN,29.9576,122.298,59.52,98,100,9.82,overcast clouds
182,Kavaratti,IN,10.5669,72.642,82.98,66,95,3.36,overcast clouds
183,Port Moresby,PG,-9.4431,147.1797,89.6,55,40,3.44,haze
184,Obo,CF,5.3998,26.4869,67.69,93,100,3.58,overcast clouds
185,Skjervoy,NO,70.0311,20.9714,34.23,98,100,19.44,light snow
186,Bom Jardim,BR,-7.7958,-35.5872,73.4,88,0,6.91,clear sky
187,Broome,US,42.2506,-75.833,62.6,67,1,6.91,clear sky
188,Diamantino,BR,-14.4086,-56.4461,72.43,86,4,3.65,clear sky
189,Kruisfontein,ZA,-34.0033,24.7314,59.45,77,75,4.61,broken clouds
190,Puerto Ayora,EC,-0.7393,-90.3518,75.99,92,77,3.91,broken clouds
191,Hilo,US,19.7297,-155.09,77.0,53,90,6.91,overcast clouds
192,Saint-Joseph,RE,-21.3667,55.6167,77.0,78,0,6.91,clear sky
193,Constitucion,CL,-35.3333,-72.4167,52.48,80,0,10.94,clear sky
194,Mogadishu,SO,2.0371,45.3438,82.26,67,100,10.78,overcast clouds
195,Bindura,ZW,-17.3019,31.3306,55.99,78,2,1.99,clear sky
